ACCE_ABSORB_COST	Pret Absorbtie: %d
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Nu ai suficiente Tichete Donaþie Mare.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Nu mai existã loc în inventar. Nu poþi dona.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Trebuie sã fi atins nivelul 30 pentru a putea dona.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Nu ai suficiente Tichete Donaþie Medie.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Nu ai suficient Yang.
GUILD_DONATE_FAIL_TIME	Nu poþi dona timp de 24 de ore dupã ce ai intrat în breaslã.
GUILD_DONATE_QUESTION_HIGH	Vrei sã faci o Donaþie Mare?
GUILD_DONATE_QUESTION_MIDDLE	Vrei sã faci o Donaþie Medie?
GUILD_DONATE_QUESTION_NORMAL	Vrei sã faci o Donaþie Micã?
GUILD_DO_YOU_HEAL_GSP	Doresti sa folosesti %d Yang pentru a restaura %d unitati din Spiritul Dragonului?
GUILD_DO_YOU_JOIN	  te-a invitat. Vrei sã te alãturi alianþei?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_PARTY_ALL	Ranguri Totale
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	Locul 11 ºi mai puþin: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Ajutor
GUILD_DRAGONLAIR_PARTY_LINE_ONE	Locul 1: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	Locul 4-10: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	Locul 2-3: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Membri
GUILD_DRAGONLAIR_PARTY_NOW	Ranguri Sãptãmânale
GUILD_DRAGONLAIR_PARTY_PAST	Ranguri Anterioare
GUILD_DRAGONLAIR_PARTY_TIME	Timp
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Recompensã
GUILD_DRAGONLAIR_RANKING_FAIL	EªUAT
GUILD_DRAGONLAIR_RANKING_NONE	NOU
GUILD_DRAGONLAIR_RANKING_SUCCESS	SUCCES
GUILD_DRAGONLAIR_SECOND	sec.
GUILD_EMPTY_AREA	Þarã goalã
GUILD_ENEMY_GUILD_NAME	Numele breslei inamicului
GUILD_FACILITY	Clãdire secundarã
GUILD_GEM	Piatrã preþioasã
GUILD_HEADQUARTER	Clãdire principalã
GUILD_HEAL_GSP	Reface Spiritul Dragonului
GUILD_INFO_ENEMY_GUILD_EMPTY	Niciuna
GUILD_MARK_NOT_ENOUGH_LEVEL	Cerinta: Minim nivelul 3
GUILD_MARK_UPLOAD_NOTICE	Asteapta un moment pentru a putea adãuga logo-uri breslei.
GUILD_MEMBEROUT_AUTH	Nu poþi elimina niciun membru.
GUILD_MEMBEROUT_NOMAL	Doreºti sã elimini acest membru?
GUILD_MEMBER_JOB	Clasã
GUILD_MEMBER_KNIGHT	Combatant
GUILD_MEMBER_LEVEL	Nivel
GUILD_MEMBER_NAME	Membru
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	EXP Donatã
GUILD_NAME	Numele breslei
GUILD_NOT_ENOUGH_MATERIAL	Nu deþii destul material pentru aceastã clãdire.
GUILD_NOT_ENOUGH_MONEY	Nu deþii destul Yang pentru aceastã clãdire.
GUILD_NO_NOTICE_PERMISSION	Nu îþi este permis sã faci un anunþ.
GUILD_OBJECT	Obiecte
GUILD_OBJECT_POSSIBLE_NEWWORLD	Aceastã clãdire este disponibilã doar pe continentul Yohara.
GUILD_OFFER_EXP	Investeºte Experienþã
GUILD_SELECT_ONE	Alege un membru al breslei.
GUILD_SHORT_EXP	Nu ai destule puncte de experienþã.
GUILD_SITE_AUCTION_END_TIME	Licitaþie Teritoriu: %02d/%02d (lunã/zi) la %02d:%02d
GUILD_SITE_AUCTION_END_TIME_DEFAULT	Licitaþie de teritoriu: N/A
GUILD_SITE_AUCTION_INFO	Teritoriul oferit: %s / %d,%d
GUILD_SITE_AUCTION_INFO_DEFAULT	Teritoriul oferit: N/A
GUILD_SITE_AUCTION_MAP_INFO	Data (lunã/zi): %02d/%02d; Ora: %02d:%02d
GUILD_SITE_AUCTION_STATE_NONE	Toate licitaþiile au fost trimise.
GUILD_SITE_AUCTION_STATE_REGIST	În %s, teritoriul de la %s,%s este licitat. Doar liderii breslei se poate înregistra la licitaþia teritorialã.
GUILD_SITE_AUCTION_STATE_RUN	Licitaþia teritoriului se terminã pe %02d/%02d (lunã/zi) la %02d:%02d.
GUILD_SITE_AUCTION_STATE_WAIT	Licitaþia teritoriului începe pe %02d/%02d (lunã/zi) la %02d:%02d pentru %s, teritoriu %d,%d.
GUILD_SITE_AUTO_ABNDON_TIME	Abandonare automatã a teritoriului: %s
GUILD_SITE_TAX_INFO	Teritoriul breslei va fi abandonat în %s. Toate obiectele din depozitul breslei vor fi ºterse.
GUILD_TILE_BASEINFO	Informaþii Teritoriu
GUILD_TILE_BOARD	Mesajele Breslei
GUILD_TILE_GRADE	Drepturi de Administrare
GUILD_TILE_INFO	Informaþii breaslã
GUILD_TILE_MEMBER	Membru
GUILD_TILE_SKILL	Calificarea breslei
GUILD_USE_MASTER_ONLY	Doar liderul breslei are acest drept.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Zona de Lupta Breasla
GUILD_WAR2	Zona de Lupta Breasla
GUILD_WAR3	Zona de Lupta Breasla
GUILD_WAR4	Zona de Lupta Breasla
GUILD_WAR_GAINSCORE_FIFTY	50 puncte
GUILD_WAR_GAINSCORE_HUNDRED	100 puncte
GUILD_WAR_GAINSCORE_THIRTY	30 puncte
GUILD_WAR_GAMETIME_SIXTY	60 minute
GUILD_WAR_GAMETIME_TEN	10 minute
GUILD_WAR_GAMETIME_THIRTY	30 minute
GUILD_WAR_LIMIT_30MIN	Timp: 30 de minute
GUILD_WAR_REWARD_POTION	Recompensã: Câºtigãtorul primeºte licori
GUILD_WAR_SELECT_WAR	Selecteazã tipul
GUILD_WAR_TYPE_DEFENSE	Scut Luptã
GUILD_WAR_TYPE_DIE	Luptã în Arenã
GUILD_WAR_TYPE_FLAG	Captureazã Steag
GUILD_WAR_TYPE_NORMAL	Luptã de Câmp
GUILD_WAR_TYPE_TIGER	Anihilare
GUILD_WAR_TYPE_TIME	Timp Atac
GUILD_WAR_USE_BATTLE_MAP	Locaþie: Câmpul de Luptã al Breslei
GUILD_WAR_USE_NORMAL_MAP	Locaþie: Harta Normalã
GUILD_WAR_WIN_CHECK_SCORE	Cel mai bun rezultat câºtigã rãzboiul.
GUILD_WAR_WIN_FIVE	5 runde
GUILD_WAR_WIN_ONE	1 rundã
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Captureazã steagul inamicului
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	ºi adu-l în baza ta.
GUILD_WAR_WIN_THREE	3 runde
GUILD_WAR_WIN_WIPE_OUT_GUILD	Înfrânge toþi inamicii pentru a câºtiga.
GUILD_WITHDRAW	Retragere
GUILD_YOU_DO_NOT_JOIN	Nu aparþii nici unei bresle.
HACK_USER_MESSAGE	Aceastã funcþie nu este disponibilã deoarece a fost detectat software de hacking.
HORSE_HEALTH0	Mort
HORSE_HEALTH1	Foame
HORSE_HEALTH2	Înfometat
HORSE_HEALTH3	Plin
HORSE_LEVEL1	Cal normal
HORSE_LEVEL2	Cal de luptã
HORSE_LEVEL3	Cal militar
HOUR	h
HOW_MANY_ITEM_DO_YOU_DROP1	Vrei sã arunci %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Vrei sã arunci %s %d?
INPUT_MATRIX_CARD_NUMBER	Introdu numãrul plãcii matrix
INPUT_MATRIX_CARD_TITLE	Placa matrix
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Introducere cod de ºtergere din administrare cont.
INPUT_PRIVATE_CODE_DIALOG_TITLE	ªterge caracterul
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Pergamentul nu poate fi adãugat.
INVENTORY_REALLY_USE_ITEM	Doresti sa folosesti asta pe acest obiect?
INVENTORY_REALLY_USE_ITEM2	Eºti sigur ca doreºti sã foloseºti acest obiect?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Doresti sa pui insotitorul in Cutia de Transport?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Doresti sa deschizi Cutia de Transport?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Doresti sa hranesti cu %s pe %s?
IS_NOT_PET_CHANGE_ITEM	Acesta nu este obiect de Însoþitor Magic.
IS_NOT_PET_ITEM	Acesta nu este un însoþitor.
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Niciuna
JOB_ASSASSIN1	Ninja Sabie
JOB_ASSASSIN2	Ninja Arc
JOB_SHAMAN	Saman
JOB_SHAMAN0	Niciuna
JOB_SHAMAN1	ªaman Dragon
JOB_SHAMAN2	ªaman Vindecare
JOB_SURA	Sura
JOB_SURA0	Niciuna
JOB_SURA1	Sura Arme
JOB_SURA2	Sura Magie
JOB_WARRIOR	Rãzboinic	
JOB_WARRIOR0	Niciuna
JOB_WARRIOR1	Rãzboinic Corp
JOB_WARRIOR2	Rãzboinic Mental
JOB_WOLFMAN	Lycan
JOB_WOLFMAN0	Lycan Fals
JOB_WOLFMAN1	Instinct
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Ieºi fãrã sã salvezi?
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] nu sunt permise!
KEYCHANGE_SAVE_EXIT	Salvezi ºi ieºi?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CTRL + 0
KEY_0_LSHIFT	SHIFT + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	SHIFT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	SHIFT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	SHIFT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	SHIFT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	SHIFT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	SHIFT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	SHIFT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	SHIFT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	SHIFT + 9
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	DOWN
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	`
KEY_GRAVE_LALT	ALT + `
KEY_GRAVE_LCONTROL	CTRL + `
KEY_GRAVE_LSHIFT	SHIFT + `
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	LEFT
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUMLOCK
KEY_NUMPAD0	NUMPAD 0
KEY_NUMPAD1	NUMPAD 1
KEY_NUMPAD2	NUMPAD 2
KEY_NUMPAD3	NUMPAD 3
KEY_NUMPAD4	NUMPAD 4
KEY_NUMPAD5	NUMPAD 5
KEY_NUMPAD6	NUMPAD 6
KEY_NUMPAD7	NUMPAD 7
KEY_NUMPAD8	NUMPAD 8
KEY_NUMPAD9	NUMPAD 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PAGE DOWN
KEY_PGUP	PAGE UP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	RIGHT
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	SPACE
KEY_SUBTRACT	-
KEY_SYSRQ	PRT SCN
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	UP
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Y
KEY_Y_LALT	ALT + Y
KEY_Y_LCONTROL	CTRL + Y
KEY_Y_LSHIFT	SHIFT + Y
KEY_Z	Z
KEY_Z_LALT	ALT + Z
KEY_Z_LCONTROL	CTRL + Z
KEY_Z_LSHIFT	SHIFT + Z
LEADER_NAME	Numele Liderului
LEFT_TIME	Timp rãmas
LIMIT_LEVEL_GUILD	Nivel breaslã: %d
LOGIN_CONNECT_FAILURE	Eroare la conectarea la server.
LOGIN_CONNECT_SUCCESS	Ai fost conectat la server.
LOGIN_CONNETING	Te rugãm sã aºtepþi în timp ce te conectezi la server.
LOGIN_FAILURE_ALREAY	Contul tãu este deja conectat.
LOGIN_FAILURE_BACKEND_ERR	A apãrut o eroare. Contacteazã Suportul.
LOGIN_FAILURE_BE_SAME_KEY	Problemã la login
LOGIN_FAILURE_BLOCK_ID	Acest cont a fost blocat.
LOGIN_FAILURE_BLOCK_LOGIN	Server închis: Alege alt server!
LOGIN_FAILURE_COUNTRY_ERR	Codukl þãrii este incorect. \nContacteazã Suportul.
LOGIN_FAILURE_INTEGRTING	Contul este în proces de fuziune. Te rugãm sã încerci mai târziu.
LOGIN_FAILURE_IOVATION_ERR	Din pãcate, a intervenit o eroare. Contacteazã Suportul.
LOGIN_FAILURE_NOBILL	Contul nu a înregistrat timp de joc.
LOGIN_FAILURE_NOT_AVAIL	Contul nu este disponibil.
LOGIN_FAILURE_NOT_EXIST_ID	Nume contului sau parola sunt greºite.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Trebuie sã verifici adresa de email a contului.
LOGIN_FAILURE_REPAIR_ID	Obiectele au fost restaurate pentru acest cont.
LOGIN_FAILURE_SAMELOGIN	Cineva s-a conectat la contul tau.
LOGIN_FAILURE_SERVER_GRADE	Din pãcate, acest cont nu are acces la acest server exclusiv.
LOGIN_FAILURE_SHUTDOWN	Serverul nu este încã deschis.
LOGIN_FAILURE_STEAM_SESSION	Sesiunea ta a expirat. Reporneºte clientul.
LOGIN_FAILURE_TNT_SESSION	Clientul nu poate fi deschis. Reporneºte lansarea ºi autentificã-te.
LOGIN_FAILURE_TOO_MANY_USER	Conectarea nu s-a realizat pentru ca existã prea mulþi jucãtori.
LOGIN_FAILURE_UNKNOWN	Login a eºuat din motive necunoscute.
LOGIN_FAILURE_WEB_BLOCK	Ai fost blocat pe website. Verificã-þi mailurile.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Ai introdus un numãr greºit.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Ai introdus de 3 ori un numãr greºit. Conectarea va fi închisã.
LOGIN_FAILURE_WRONG_PASSWORD	Nume sau parola greºitã.
LOGIN_INPUT_ID	Introdu ID-ul.
LOGIN_INPUT_PASSWORD	Introdu parola.
LOGIN_PROCESSING	Conectarea ruleazã ...
LUCKY_BOX_DIALOG_RECV_TEXT	Doreºti sã accepþi obiectul?
LUCKY_BOX_DIALOG_RETRY_TEXT	Doreºti sã-þi încerci norocul din nou?
MAILBOX_FAIL_USE_TIME_LIMIT	Îmbunãtãþire Cutie Poºtalã. Te rugãm sã încerci mai târziu.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Niciun mesaj
MAILBOX_POST_ALL_DELETE_QUESTION1	ªtergi toate mesajele?
MAILBOX_POST_ALL_DELETE_QUESTION2	Mesajele cu ataºamente nu se vor sterge.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	Nu ai niciun mesaj cu ataºament în cutia poºtalã.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Accepþi ataºamentul? (Minus 5% taxe în Yang)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Mesajul nu a putut fi ºters. Acceptã ataºamentul mai întâi.
MAILBOX_POST_DELETE_QUESTION	Chiar vrei sã ºtergi acest mesaj?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Obiectul nu poate fi acceptat. Nu mai existã loc în inventar.
MAILBOX_POST_GET_ITEMS_QUESTION	Accepþi ataºamentul? (Minus 5% taxe în Yang)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Nu poþi accepta mai mult Won.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Nu poþi accepta mai mult Yang.
MAILBOX_POST_GM_ARRIVE	Mesaj GM
MAILBOX_POST_NOT_CONFIRM_INFO_1	Mesaje necitite: %d
MAILBOX_POST_NOT_CONFIRM_INFO_2	Fãrã ataºamente: %d / Cu ataºamente: %d
MAILBOX_POST_READ_BLOCK	Eºti sigur cã doreºti sã blochezi jucãtorul %s?
MAILBOX_POST_WRITE_ALREADY_ITEM	Poþi trimite doar un singur obiect într-un mesaj.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Separã obiectele în inventar înainte de a ataºa unul în mesaj.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Destinatar necunoscut. Mesajul nu a putut fi trimis.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	Cutia poºtalã a destinatarului este plinã. Mesajul nu a putut fi trimis.
MAILBOX_POST_WRITE_LEVEL_LIMIT	Poþi trimite mesaje de la nivelul 20.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	Nu ai suficient Yang pentru a trimite acest mesaj.
MAILBOX_POST_WRITE_NAME_CHECK	Confirmã numele destinatarului apãsând pe Verificã Destinatar.
MAILBOX_POST_WRITE_NAME_EMPTY	Completezã destinatarul.
MAILBOX_POST_WRITE_QUESTION1	Vrei sã trimiþi mesajul cãtre %s acum?
MAILBOX_POST_WRITE_QUESTION2	Cost trimitere: %d Yang
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Completeazã un destinatar.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Completeazã un subiect.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Bani
MAILBOX_POST_WRITE_WRONG_ITEM	Nu poþi trimite niciun obiect personalizat.
MAILBOX_POST_WRITE_WRONG_MESSAGE	Mesajul conþine cuvinte nepermise.
MAILBOX_POST_WRITE_WRONG_TITLE	Subiectul conþine cuvinte nepermise.
MALL_CANNOT_INSERT	Nu poþi poziþiona obiectul.
MALL_PASSWORD_TITLE	Parola
MAP_A1	Þinutul Yongan
MAP_A2	Valea Seungryong
MAP_A2_1	
MAP_A3	Þinutul Yayang
MAP_AG	Jungrang
MAP_B1	Þinutul Joan
MAP_B2	Valea Imji
MAP_B3	Þinutul Bokjung
MAP_BATTLE_FIELD	Zonã de Rãzboi
MAP_BATTLE_ROYALE	Bãtãlia Roialã
MAP_BAY	Trecatoarea Nephrite
MAP_BAYBLACKSAND	Trecatoarea Nephrite
MAP_BG	Waryong
MAP_BOSS_AWAKEN_DAWNMIST	RX: Pãdurea Fermecatã
MAP_BOSS_AWAKEN_FLAME	RX: Fortãreaþa Dragonului Roºu
MAP_BOSS_AWAKEN_SKIPIA	RX: Grota Exilului
MAP_BOSS_AWAKEN_SNOW	RX: Turnul lui Nemere
MAP_BOSS_CRACK_DAWNMIST	TR: Pãdurea Fermecatã
MAP_BOSS_CRACK_FLAME	TR: Fortãreaþa Dragonului Roºu
MAP_BOSS_CRACK_SKIPIA	TR: Grota Exilului
MAP_BOSS_CRACK_SNOW	TR: Turnul lui Nemere
MAP_BOSS_LABYRINTH	Platoul Iluziilor
MAP_C1	Þinutul Pyungmoo
MAP_C2	Valea Bangsan
MAP_C3	Þinutul Bakra
MAP_CAPE	Peninsula Dragon de Foc
MAP_CAPEDRAGONHEAD	Peninsula Dragon de Foc
MAP_CG	Imha
MAP_CZ_DUNGEON	Templul Zodiac
MAP_DAWN	Stancile Gautama
MAP_DAWNMISTWOOD	Stancile Gautama
MAP_DAWNMIST_DUNGEON_01	Pãdurea Fermecatã
MAP_DEFENSE_WAVE	Apãrare Navã
MAP_DEFENSE_WAVE_PORT	Port
MAP_DESERT	Deºertul Yongbi
MAP_DEVILCATACOMB	Catacomba Diavolului
MAP_DEVILTOWER1	Turnul Demonilor
MAP_DUEL	Arena Antrenament de Lupta
MAP_E	Colonie
MAP_EASTPLAIN_01	Aria Dong Gwang
MAP_EASTPLAIN_02	Pustietatea Seo Gwang
MAP_EASTPLAIN_03	Prãpastia Nam Gwang
MAP_ELEMENTAL_DUNGEON	Tãrâmul Elementelor
MAP_EMPIRECASTLE	Fortãreaþa Abandonatã
MAP_EMPIREWAR01	Batalie Castel
MAP_EMPIREWAR02	Batalie Castel
MAP_EMPIREWAR03	Batalie Castel
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_GUILD_PVE	Palatul Regelui Dragon
MAP_HOLYPLACE_DESERT	Desert Batalia Regatului
MAP_HOLYPLACE_FLAME	Tara de Foc Batalia Regatului
MAP_HOLYPLACE_ICE	Þara Îngheþatã Bãtãlia Regatelor
MAP_MAZE_DUNGEON_01	Peºtera Gnoll Nivel 1
MAP_MAZE_DUNGEON_02	Peºtera Gnoll Nivel 2
MAP_MAZE_DUNGEON_03	Peºtera Gnoll Nivel 3
MAP_MILGYO	Templul Hwang
MAP_MILGYO_A	
MAP_MINIBOSS_01	Temniþa Albastrã - Nivel 40-80
MAP_MINIBOSS_02	Temniþa Roºie - Nivel 81+
MAP_MISTS_OF_ISLAND	Insula de Ceaþã
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Muntii Thunder
MAP_MT_TH_DUNGEON_01	Templul Ochao
MAP_NUSLUCK	Taramul Gigantilor
MAP_NUSLUCK01	Taramul Gigantilor
MAP_N_DESERT_01	Desertul Yongbi
MAP_N_DESERT_02	
MAP_N_FLAME_01	Tara de Foc
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Adãpostul lui Meley
MAP_N_FLAME_DUNGEON_01	Fortãreaþa Dragonului Roºu
MAP_N_SNOWM_01	Muntele Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Turnul lui Nemere
MAP_N_THREEWAY	Valea Seungryong
MAP_OXEVENT	Concurs OX
MAP_PATHWAY_DESERT_01	Desert Batalia Regatului
MAP_PATHWAY_DESERT_02	Desert Batalia Regatului
MAP_PATHWAY_DESERT_03	Desert Batalia Regatului
MAP_PATHWAY_FLAME_01	Tara de Foc Batalia Regatului
MAP_PATHWAY_FLAME_02	Tara de Foc Batalia Regatului
